Designator,Part Number,Item Description,Quantity,Cost Per Part,Total Cost,
SOLAR / CHARGE CONTROLLER,,,,,,
C1,399-C1210C225K1RAC7800CT-ND,"General Purpose Ceramic Capacitor, 1210, 2.2uF, 10%, X7R, 15%, 100V",1,0.69,0.69,
"C2, C3, C4",399-C0805C105K3RAC7800CT-ND,C0805C105K3RACTU,3,0.13,0.69,
"C5, C7",399-C0805C104K5RAC7800CT-ND,CAP CER 0.1UF 50V X7R 0805,2,0.13,0.26,
"C6, C8",399-C1210C106M6PAC7800CT-ND,CAP CER 10UF 35V X5R 1210,2,0.79,1.58,
C9,399-C1210C475M5RAC7800CT-ND,CAP 4.7uF 50V ±20% 1210 (3225 Metric) Thickness 2.8mm SMD,1,1.5,1.5,
C10,399-C0805C220K5GAC7800CT-ND,CAP CER 22PF 50V 10% NP0 0805,1,0.1,0.1,
D1,PDS1040LDICT-ND,DIODE SCHOTTKY 40V 10A POWERDI5,1,1,1,
D2,4878-BAT54CCT-ND,DIODE ARRAY SCHOTTKY 30V SOT23-3,1,0.15,0.15,
"D3, D4",160-1183-1-ND,LED GREEN CLEAR CHIP SMD,2,0.23,0.46,
"J1, J2",277-1247-ND,"PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk",2,1.1,2.2,
L,541-1024-1-ND,"Commercial Inductors, High Saturation Series 10uH 7A 34m? 20%",1,1.52,1.52,
"Q1, Q2",SI7288DP-T1-GE3CT-ND,"Dual N-Channel (D-S) MOSFET, 40 V, 20 A, -55 to 150 degC, 8-Pin POWERPAKSO-8, RoHS, Tape and Reel",2,1.47,2.94,
R1,P100KDACT-ND,RES 100K OHM 0.1% 1/8W 0805,1,0.31,0.31,
"R2, R3",541-3028-1-ND,RES SMD 499K OHM 1% 1/8W 0805,2,0.16,0.32,
R4,P36KBNCT-ND,RES SMD 36K OHM 0.5% 1/8W 0805,1,0.42,0.42,
R5,P2.2ACT-ND,RES SMD 2.2 OHM 5% 1/8W 0805,1,0.1,0.1,
R6,P10ECT-ND,RES SMD 10 OHM 5% 1/4W 1206,1,0.15,0.15,
"R7, R8",311-10.0KCRCT-ND,"Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel",2,0.1,0.2,
R9,541-5.23KCCT-ND,"RES Thick Film, 5.23k?, 1%, 0.125W, 100ppm/°C, 0805",1,0.1,0.1,
R10,541-30.1KCCT-ND,"RES Thick Film, 30.1k?, 1%, 0.125W, 100ppm/°C, 0805",1,0.1,0.1,
RSR,WSLP-.02CT-ND,RES 0.02 OHM 1% 1W 1206,1,0.6,0.6,
RTH, ,Thermistor NTC 10KOhm 1% 2-Pin,1,,,
U,296-27699-1-ND,IC SYNC SW-MODE BAT CHRGR 16VQFN,1,5.94,5.94,
,,,, Order Total Cost:, $21.33 ,
LIGHTING,,,,,,
B081NHZHSD,https://www.amazon.com/Extension-Hanging-Lantern-Pendant-Lighting/dp/B081NHZHSD/ref=asc_df_B081NHZHSD/?tag=&linkCode=df0&hvadid=416713541504&hvpos=&hvnetw=g&hvrand=4840992336210183672&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027902&hvtargid=pla-896688116630&mcid=8c8dd04f8fd539e888cc6b1866c08374&ref=&adgrpid=93604203773&gclid=Cj0KCQiAwbitBhDIARIsABfFYIKNUmXV0jZbPkrjcpNIQMvzwN3pLyGUQZ3TWA27PDcsO6qm4ZuaxnsaAjy_EALw_wcB&th=1,2-Pack Extension Hanging Lantern Cord Cable UL 375W with E26 E27 Socket On/Off Button Pendant Lighting - 6 Feet,2,4.99,9.99,
MSB1G,Southwire Southwire MSB1G One Gang Device Box with Depth Adjustable; Heavy Duty 42lb; Gray - Amazon.com,Southwire Southwire MSB1G One Gang Device Box with Depth Adjustable; Heavy Duty 42lb; Gray,2,2.73,5.46,
